1	2	166	6.750005
1	3	1025	1.751725
2	1	163	6.750004
2	6	611	1.750218
3	1	1021	1.751698
3	4	820	2.000808
3	12	677	3.000563
4	3	855	2.000954
4	5	1130	2.253276
4	11	1313	3.007963
5	4	1304	2.25581
5	6	411	2.500064
5	9	1608	1.508956
6	2	599	1.750201
6	5	788	2.500861
6	8	982	1.501246
7	8	909	2.501524
7	18	798	1.500543
8	6	1338	1.504293
8	7	615	2.500319
8	9	1601	2.514668
8	16	1860	1.516033
9	5	1384	1.504915
9	8	991	2.502153
9	10	3735	1.760696
10	9	2886	1.59293
10	11	4112	2.824482
10	15	4256	4.202294
10	16	3023	2.686455
10	17	2028	2.943808
11	4	1168	3.004986
11	10	4221	2.88786
11	12	2475	2.067021
11	14	2483	3.360324
12	3	628	3.000417
12	11	2276	2.047929
12	13	823	6.752766
13	12	581	6.750687
13	24	1520	2.009534
14	11	2659	3.39509
14	15	1900	2.276186
14	23	2704	1.571614
15	10	3860	3.894338
15	14	2121	2.290666
15	19	2138	2.54665
15	22	4130	1.889738
16	8	2529	1.554798
16	10	2419	2.576448
16	17	2284	1.536455
16	18	1260	2.505627
17	10	2068	2.947368
17	16	2645	1.565565
17	19	3436	1.967837
18	7	1105	1.501997
18	16	962	2.501912
18	20	236	7.20002
19	15	1882	2.528009
19	17	3864	2.098392
19	20	933	3.502368
20	18	248	7.200024
20	19	1119	3.504901
20	21	592	2.500274
20	22	1425	3.211784
21	20	926	2.501642
21	22	1339	2.005742
21	24	819	2.250904
22	15	4227	1.927663
22	20	1313	3.208494
22	21	1126	2.002871
22	23	1806	2.271376
23	14	2680	1.569105
23	22	1613	2.263602
23	24	1413	2.00712
24	13	1166	2.003301
24	21	1373	2.257141
24	23	1204	2.003753
948625220
